StockCode,num_price_level,price_mean,price_min,price_max,price_std,price_mode,quantity_monthly,quantity_quarterly,quantity_yearly
10002,5,0.9753475935828876,0.72,1.7,0.30671530062522995,0.85,438.11764705882354,1064.0,2482.6666666666665
10002R,2,5.133333333333333,5.06,5.17,0.06350852961085889,5.17,2.0,2.0,2.0
10080,2,0.505,0.39,0.85,0.20284093384828528,0.39,28.636363636363637,45.0,105.0
10109,1,0.42,0.42,0.42,0.0,0.42,4.0,4.0,4.0
10120,2,0.2397297297297297,0.21,0.43,0.07572431926860138,0.21,30.19047619047619,70.44444444444444,211.33333333333334
10123C,5,0.7772307692307693,0.06,1.3,0.3176894498381424,0.65,35.714285714285715,83.33333333333333,166.66666666666666
10123G,4,0.7783333333333333,0.06,1.7,0.5374586167379609,0.65,191.16666666666666,382.3333333333333,573.5
10124A,1,0.42,0.42,0.42,0.0,0.42,4.833333333333333,9.666666666666666,29.0
10124G,2,0.462,0.42,0.84,0.13281566172707193,0.42,3.6666666666666665,5.5,16.5
10125,7,0.930635838150289,0.42,1.7,0.309012211486366,0.85,91.43478260869566,233.66666666666666,701.0
10133,9,0.7449484536082475,0.42,1.7,0.2879623671940731,0.85,173.5,477.125,1272.3333333333333
10134,4,1.29,1.06,2.57,0.24773791408275414,1.25,51.25,123.0,307.5
10135,9,1.397659574468085,0.25,2.57,0.5430034414399895,1.25,168.6,468.3333333333333,1405.0
10138,4,0.48519999999999996,0.42,0.84,0.15253742710124185,0.42,13.4,22.333333333333332,33.5
11001,7,1.860749063670412,0.5,3.43,0.696269463726179,1.69,160.72,446.44444444444446,1339.3333333333333
15030,1,0.29,0.29,0.29,0.0,0.29,14.941176470588236,28.22222222222222,84.66666666666667
15034,5,0.3514885496183206,0.07,0.85,0.32169045511256944,0.14,348.2,967.2222222222222,2901.6666666666665
15036,11,0.9900696517412935,0.48,1.63,0.33468915102393965,0.75,1734.2,4817.222222222223,14451.666666666666
15039,5,1.1410576923076923,0.53,1.7,0.39894858182154563,0.85,202.96,563.7777777777778,1691.3333333333333
15044A,5,3.590674603174603,2.55,6.04,1.2364497198152926,2.95,198.44,551.2222222222222,1653.6666666666667
15044B,5,3.545105263157895,2.55,6.04,1.2163762382101213,2.95,79.47619047619048,208.625,556.3333333333334
15044C,5,3.803940677966102,2.55,6.04,1.3500730242968366,2.95,38.48,106.88888888888889,320.6666666666667
15044D,5,3.4283690987124467,2.55,6.04,1.1310050082542373,2.95,63.48,176.33333333333334,529.0
15056BL,9,6.242886363636363,1.95,13.0,1.780394898301504,5.95,371.6,1032.2222222222222,3096.6666666666665
15056N,8,6.794598677998112,1.95,13.0,2.46998375671747,5.95,445.68,1238.0,3714.0
15056P,8,6.2078753541076495,3.0,13.0,1.6734413597193243,5.95,86.36,239.88888888888889,719.6666666666666
15056bl,3,12.562068965517243,12.46,13.0,0.14079622361342603,12.46,5.8,14.5,38.666666666666664
15056n,2,12.549655172413793,12.46,12.72,0.12411727297710952,12.46,10.176470588235293,24.714285714285715,86.5
15056p,2,12.569473684210527,12.46,12.72,0.13009242802447396,12.46,2.5555555555555554,6.571428571428571,23.0
15058A,7,8.50406451612903,3.95,25.49,3.3801728413454057,7.95,25.5,57.375,229.5
15058B,7,9.623664596273292,3.95,25.49,4.438922685945459,7.95,21.45,53.625,214.5
15058C,5,9.607096774193549,3.95,25.49,5.506587595771832,7.95,23.3,58.25,233.0
15059A,2,10.5,3.0,13.0,5.0,13.0,509.0,509.0,509.0
15060B,5,5.518175824175824,2.95,8.65,2.2947144716636747,3.75,58.541666666666664,156.11111111111111,468.3333333333333
15060b,2,8.362,8.29,8.47,0.09859006035093033,8.29,1.0,1.25,2.5
16008,3,0.15623529411764706,0.08,0.25,0.05932108897043827,0.12,184.76470588235293,448.7142857142857,1570.5
16010,1,0.12,0.12,0.12,0.0,0.12,8.0,10.666666666666666,16.0
16011,2,0.2095575221238938,0.16,0.21,0.004703604341917979,0.21,157.83333333333334,420.8888888888889,1262.6666666666667
16012,2,0.2094047619047619,0.16,0.21,0.005455447255899802,0.21,131.86363636363637,322.3333333333333,967.0
16014,2,0.39526881720430107,0.32,0.42,0.04337880162138561,0.42,1223.125,3261.6666666666665,9785.0
16015,2,0.4870769230769231,0.36,0.5,0.040839743086662716,0.5,74.85714285714286,174.66666666666666,524.0
